2025-08-08 16:04:50,982 [INFO] Scraped https://neetcode.io/problems/reconstruct-flight-path?list=neetcode150 | DSA: 3. Hierholzer's Algorithm (Iteration) | TC: O(Elog⁡E) | SC: O(E) | Desc_len: 406
2025-08-08 16:04:52,291 [INFO] Scraped https://neetcode.io/problems/min-cost-to-connect-points?list=neetcode150 | DSA: 3. Prim's Algorithm (Optimal) | TC: O(n2) | SC: O(n) | Desc_len: 406
2025-08-08 16:04:53,371 [INFO] Scraped https://neetcode.io/problems/swim-in-rising-water?list=neetcode150 | DSA: 5. Kruskal's Algorithm | TC: O(n2log⁡n) | SC: O(n2) | Desc_len: 406
2025-08-08 16:04:54,381 [INFO] Scraped https://neetcode.io/problems/foreign-dictionary?list=neetcode150 | DSA: 2. Topological Sort (Kahn's Algorithm) | TC: O(N+V+E) | SC: O(V+E) | Desc_len: 406
2025-08-08 16:04:55,416 [INFO] Scraped https://neetcode.io/problems/cheapest-flight-path?list=neetcode150 | DSA: 3. Shortest Path Faster Algorithm | TC: O(n∗k) | SC: O(n+m) | Desc_len: 406
2025-08-08 16:04:56,303 [INFO] Scraped https://neetcode.io/problems/climbing-stairs?list=neetcode150 | DSA: 6. Math | TC: O(log⁡n) | SC: O(1) | Desc_len: 406
2025-08-08 16:04:57,371 [INFO] Scraped https://neetcode.io/problems/min-cost-climbing-stairs?list=neetcode150 | DSA: 4. Dynamic Programming (Space Optimized) | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:04:59,294 [INFO] Scraped https://neetcode.io/problems/house-robber?list=neetcode150 | DSA: 4. Dynamic Programming (Space Optimized) | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:05:00,248 [INFO] Scraped https://neetcode.io/problems/house-robber-ii?list=neetcode150 | DSA: 4. Dynamic Programming (Space Optimized) | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:05:01,167 [INFO] Scraped https://neetcode.io/problems/longest-palindromic-substring?list=neetcode150 | DSA: 4. Manacher's Algorithm | TC: O(n) | SC: O(n) | Desc_len: 406
